CCTV,#genre#
CCTV11,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV11,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV11,http://183.11.239.36:808/hls/29/index.m3u8
CCTV12,http://www.marcvision.xyz:8000/rtp/238.1.78.242:7808
CCTV12,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV12,http://123.118.55.165:45237/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://118.122.144.115:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://1.24.39.180:9003/hls/12/index.m3u8
CCTV12,http://120.40.39.246:352/newlive/live/hls/13/live.m3u8
CCTV12,http://58.56.162.102:4466/newlive/live/hls/13/live.m3u8
CCTV12,http://113.90.154.189:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.226.51.220:50081/newlive/live/hls/13/live.m3u8
CCTV12,http://112.27.235.94:8000/hls/13/index.m3u8
CCTV12,http://27.129.145.110:4433/hls/12/index.m3u8
CCTV12,http://113.25.252.226:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://39.165.39.49:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://1.24.39.180:9003/hls/13/index.m3u8
CCTV13,http://118.122.144.115:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://183.129.255.66:8480/hls/14/index.m3u8
CCTV13,http://27.129.145.110:4433/hls/13/index.m3u8
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV13,http://120.40.39.246:352/newlive/live/hls/14/live.m3u8
CCTV13,http://58.56.162.102:4466/newlive/live/hls/14/live.m3u8
CCTV13,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV13,http://fuxin.yunjifei.top:999/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://39.165.39.49:85/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://txycdn7.video.qq.com/1755770102.m3u8?time=1785228785&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIH0vZZFIWrat63wf1XjrTgBs9KY8ysQ9nlk2A_I3fKgCEPIADQh1SgfPWmrCWnr5jEABcJILoeLpH8QaWvC8vmUpTMNsfKZ8Cehjo3e6vZECLLZCSwahR4ff14uiujiLvqSxA-3_aVJbD_cFAlROxLFJSXN4_6QauDZWYflrhHT9XbHlumVwtNvHd_254IwGrgLfXz_kbu5ZEIJu8h4TKak0FJNAKAUF7RwBx5VnzYWuNmK5zgrwXsqUeC24GpVjoTc_Z_XoByV4zAez71I1e2zKDdgeixRru2IRkr3f6QuIYAzXTGU9GPjlWdoEHkKXMdeBzekGjRvae0LlQOv6QWu3bjWdDNavn7M7M8MutzploOHHkzPnCJdHeEU_aMoe0rewqIwrWdHEieITrYFTK-1RUINqbalYXgzH7dPmo93MBAIbAdXNZuL6ARDhYQeCOL2oe4S70AnZNkCpKgGLvCHrG9cLBBh9UH8GJrNEHiVZKNd4llGtPhQvz1LI-bzEZ0MU0Hfij21fIZRylB32uYxDHoBuu4f3tuA_zjTGp0Shus2C&drmtype=0
CCTV14,http://27.129.145.110:4433/hls/14/index.m3u8
CCTV14,http://1.24.39.180:9003/hls/14/index.m3u8
CCTV14,http://vp.maomizi.cc:9530/rtp/239.77.0.133:5146
CCTV14,http://222.223.41.27:8888/hls/14/index.m3u8
CCTV14,http://113.57.140.161:10081/newlive/live/hls/15/live.m3u8
